company_id,employee_count,follower_count,time_recorded
791541,112,9559,2024-04-11 18:28:46
296148,489,3359,2024-04-11 18:28:46
153083,457,10320,2024-04-11 18:28:46
3289302,14,1289,2024-04-11 18:28:46
18271088,594,14125,2024-04-11 18:28:46
87227477,2,132,2024-04-11 18:28:46
9432479,1,20,2024-04-11 18:28:46
16274164,226,2850,2024-04-11 18:28:46
150048,1087,26396,2024-04-11 18:28:46
66890963,618,35271,2024-04-11 18:28:46
34942,290,5199,2024-04-11 18:28:46
145467,97,6935,2024-04-11 18:28:46
508668,386,4285,2024-04-11 18:29:12
10801655,24652,558997,2024-04-11 18:29:12
24214,272,43975,2024-04-11 18:29:12
413275,46,33475,2024-04-11 18:29:12
61400,615,17769,2024-04-11 18:30:54
3626,135447,659002,2024-04-11 18:30:54
15341170,118,868,2024-04-11 18:30:54
15090351,8,1437,2024-04-11 18:30:54
1018230,712,3931,2024-04-11 18:30:54
40673251,39,968,2024-04-11 18:30:54
42389544,23,47,2024-04-11 18:30:54
94016483,1,35,2024-04-11 18:30:54
12960277,148,988,2024-04-11 18:30:54
384331,902,3794,2024-04-11 18:30:54
3313368,7,18,2024-04-11 18:30:54
1003053,179,3054,2024-04-11 18:30:54
963739,98,39682,2024-04-11 18:30:54
1360319,423,54422,2024-04-11 18:30:54
1283,321805,8619418,2024-04-11 18:30:54
5095714,109,995,2024-04-11 18:30:54
153262,64,3378,2024-04-11 18:30:54
